ClusterIndex,AvgDuration,MedianDuration,StdDevDuration,AvgReaction,MedianReaction,StdDevReaction
5,534.75,514.50,341.25,349.00
11,851.78,886.00,266.44,202.00
6,4336.25,5017.00,240.25,269.50
4,6898.67,5185.00,177.00,129.00
12,785.00,870.00,306.00,388.00
2,2104.29,811.00,153.29,131.00
10,699.50,742.00,410.42,312.50
3,460.25,516.00,371.75,420.50
13,3965.30,761.50,529.70,94.00
9,738.67,778.00,290.33,257.00
8,3991.91,4123.00,330.73,340.00
1,1834.44,1488.00,404.44,403.00
7,2149.50,2424.00,321.62,315.50
0,2037.00,2055.00,294.25,269.50
